name,address,rating,email,phone,category,website,gmap_link,services
ECSOFT PRIVATE LIMITED,"Software company · 1-B, Vasan St
Closed ⋅ Opens 9:30 am Thu · 099400 68400",4.9,jobs@ecsoft.com,099400 68400,IT company,https://www.ecsoft.com/,https://www.google.com/maps/search/IT+company+near+600012/,Products Discover our Products & Solutions The Ultimate ERP Solution for your Business Elevate Customer Relationships with Advanced CRM Solutions The Best Retail POS System for Efficient Billing and Inventory Simplify Payment Collection with Advanced Automation Optimize Your Telecalling Operations with Efficiency Revolutionize Your E-Commerce with Cutting-Edge Solutions Services Software Development Tailored Solutions for Every Business Need Software Consultation Expert Advice for Optimal Techno
Creatah Software Technologies,"Software company ·  · 126/48, 2nd floor, Perambur High Rd
Closed ⋅ Opens 10 am Thu · 088382 29241",4.6,info@creatah.com,088382 29241,IT company,https://www.creatah.com/,https://www.google.com/maps/search/IT+company+near+600012/,Home About Us What We Do Mobile App Development Android App Development iOS App Development Flutter App Development React Native Development Web App Developemnt Angular Development ReactJS Development Node.js Development Larvel Development PHP Development Digital Marketing SEO - Digital Marketing Social Media Marketing Content Marketing Paid Advertising Services Career Contact Us Estimate Your Project Home About Us What We Do Mobile App Development Android App Development iOS App Development Flu
Sphark Technologies,"Software company · 284/104, Paper Mills Road
Closes soon ⋅ 8 pm ⋅ Opens 9 am Thu · 098846 06127",4.9,hello@spharktechnologies.com,098846 06127,IT company,https://www.spharktechnologies.com/,https://www.google.com/maps/search/IT+company+near+600012/,"About Recent Courses ORACLE Developer SQL/PLSQL Python Masterclass Unix & Shell scripting SAS Selenium testing Java AutoCAD design (Electrical) UI/UX Specialization Internship Python Internship Oracle Internship SAS Internship Selenium Testing Internship Java Internship Unix & Shell Scripting Internship Electrical AutoCAD Internship Have a Questions? 284/104, paper Mills road, Perambur, Chennai 600011. 1/250 K.M Complex, Thoraipakkam, 200 Feet Radial Rd, Chennai, Tamil Nadu 600097 +91 9884 606 1"
Tekrella IT Solutions,"Software company · 71/2, Pulianthope High Road
Open 24 hours · 093611 27915",4.8,info@tekrella.com,093611 27915,IT company,https://tekrella.com/,https://www.google.com/maps/search/IT+company+near+600012/,"Tekrella IT Solutions Tech Support Made Easy Home Services Contact About Blog Call Us:+91 9361127915 OUR SERVICE we pledge ourselves to impeccable business Revolutionize Your Business with Our Cutting-Edge IT Solutions and Software. READ MORE About Us Our Company is Here To Help You Tekrella is a highly productive and skilled team of IT professionals with expertise in Cloud solutions, DevOps, software development and all other IT services. READ MORE OUR SERVICE We're Here To Grow Your Business. "
"K-Teq Solutions - Web, mobile and IOT developers","Software company · Egankipuram 2nd St
Open 24 hours · 090922 92172",4.8,N/A,090922 92172,IT company,https://www.kteq.in/,https://www.google.com/maps/search/IT+company+near+600012/,"ROBOTICS AND AUTOMATION INTELLIGENCE AT ITS FINEST Innovative designs and thoughtful development from our expert engineers can transform your business's productivity. Our Team has built off the shelf robots that are equipped to meet the demands of Industries. DISRUPTIVE IoT SOLUTIONS INTELLIGENCE AT FINEST Track data about anything, anywhere and anytime. We provide turn-key solutions to enterprises and companies which makes a huge impact on their business. ECOMMERCE & RETAIL DISRUPTING IT SOLUTI"
VM IT SOLUTION-Digital Marketing Company-SEO Services,"Software company · 33, SSV Koil 1st St
Open 24 hours · 072003 52305",5.0,vanathiperumal22@gmail.com,072003 52305,IT company,https://vmitsolution.com/,https://www.google.com/maps/search/IT+company+near+600012/,N/A
Yazhi Software Solutions,"Software company · 145, Patel Rd
Closed ⋅ Opens 10 am Thu · 097911 12361",5.0,info@yazhiss.com,097911 12361,IT company,http://yazhiss.com/,https://www.google.com/maps/search/IT+company+near+600012/,"Small Details Make A Big Impression. A brand is no longer what we tell the consumer it is - it is what consumers tell each other it is. Get Started about us We reflect Yazhi in many aspects - We are artistic & highly creative in our thought process, Powerful/Mighty in tool handling and phenomenal in work. We develop innovative and creative products and services that provide total communication and information solutions. Among a plethora of services, web design and development, tailor made applic"
NOHITATU Technologies private limited,"Software company ·  · No. 402, 4th floor, City Centre, Purasaivakkam High Rd
Closed ⋅ Opens 9 am Thu",4.3,info@nohitatu.com,N/A,IT company,http://www.nohitatu.com/,https://www.google.com/maps/search/IT+company+near+600012/,"CORPORATE About Us Clients EXPLORE NOHITATU Why Nohitatu Tech Skills Vision and Values People Our Advantages Who Need Us? Life as a
                                                                Nohitatian SOLUTIONS Software
                                                                Development Saas Revenue
                                                                    Cycle Management Medical
                                                                                    Bill"
Fusiontec Software,"Software company · Suite No.17-A, Second Floor, Crescent Court, 963, Poonamallee High Rd
Closed ⋅ Opens 9:30 am Thu · 098416 99962",4.9,sales@fusiontec.com,098416 99962,IT company,https://fusiontec.com/,https://www.google.com/maps/search/IT+company+near+600012/,About Products Net Banking & Payment
CEI India Pvt Ltd | IT Services & Software Company | Chennai,"Software company ·  · 27, Akshaya Shanthi 44, 44, Anna Salai
Open 24 hours · 044 4221 0500",4.5,N/A,044 4221 0500,IT company,https://www.ceiamerica.com/,https://www.google.com/maps/search/IT+company+near+600012/,AI Innovation Vector-6 Clairvoyance Foundation Enterprise Assistants AI Knowledge Management AI Managed Services GitHub Copilot Clairvoyance Automation Clairvoyance Data Analytics Solutions Vector-6 Microsoft Solutions AWS Solutions GitHub Solutions Infrastructure Solutions Strategy & Advisory Talent Acquisition IT Managed Services Infrastructure Managed Cybersecurity vCISO Service Desk CEI Clairvoyance Enterprise Platforms Vector-6 Services Overview CRM Services ERP Services Sitecore Solutions 
WonderWrks IT Services,"Software company
Open ⋅ Closes 7 pm · +1 317-567-1350",4.5,sales@wonderwrks.com,+1 317-567-1350,IT company,https://www.wonderwrks.com/,https://www.google.com/maps/search/IT+company+near+600012/,Wonderwrks IT Services 1-317-567-1350 sales@wonderwrks.com Follow us Facebook Twitter Linkedin Menu Home About us Services Web Mobile Apps Automation Digital Marketing IOT Outsourcing Social Media Pay Per Click LOCAL SEO SERVICES E-Commerce SEO Website Maintenance Cloud Services Products Event Planner Smart Recruit Student Management Mortgage Pick a Taxi Menu Job Portfolio Re-seller Blogs Contact us Home About us Services Web Mobile Apps Automation Digital Marketing Outsourcing IOT Social Media 
NLabs Technology,"Software company ·  · Old. 22/3, New, 43/3, Venkatachalam St, near Saravana Store Furniture
Open ⋅ Closes 9 pm · 097104 59515",5.0,niranjanraj.mn@gmail.com,097104 59515,IT company,http://www.nlabstech.in/,https://www.google.com/maps/search/IT+company+near+600012/,Home Why? About us Services Products Contact
Feliz IT Solutions,"Software company · 4742+FH5, Perambur High Rd
Permanently closed",3.0,N/A,N/A,IT company,N/A,https://www.google.com/maps/search/IT+company+near+600012/,N/A
Explarent,"Software company · 29, Jawahar Rd
Temporarily closed",5.0,N/A,N/A,IT company,N/A,https://www.google.com/maps/search/IT+company+near+600012/,N/A
