category,pin_code,name,address,website,rating,email,phone,gmap_link,services,cid
IT company,Banglore,Techasoft Pvt. Ltd.,"Software company · 3rd Floor, 435, 27th Main Rd
Open ⋅ Closes 9 pm · 099860 56909",https://www.techasoft.com/,4.6,side-design_home@3x.png,099860 56909,https://www.google.com/maps/search/IT+company+near+Banglore/,"Home About Us News Products Doctor Click Away School PNT Dr. Log E-Learning Alumni Platform PO And Stock Management HRMS E Kart Employee Leave Management TechaCRM(Customer Relationship Management)Application Grocery Matrimony Wedlock Planner OCR(Optical Character Recognition) Scanner App Clients Technology UI DESIGN HTML/HTML5, CSS3 AngularJS, JS AJAX/JSON jQuery, jQuery UI Drupal Joomla WordPress Cloud Computing AWS Development Google Cloud Go Daddy SERVER SIDE SCRIPTING PHP J2EE, J2SE, SWING, ",4300396970355271151
IT company,Banglore,Cybrain Software Solutions Pvt Ltd - Web Designing | IT Company | Software Company in Vidyaranyapura Bangalore,"Software company · Vidmahe Enclave, 135, Kodigehalli - Thindlu Main Rd
Open ⋅ Closes 6:30 pm · 1800 891 3958",https://www.cybrain.co.in/,4.6,info@cybrain.co.in,1800 891 3958,https://www.google.com/maps/search/IT+company+near+Banglore/,"info@cybrain.co.in 1800-891-3958 Search × Search Custom
                                                                    Software
                                                                    Development Product
                                                                    Development Web
                                                                    Application
                                                                    Development Mobile App
                  ",4300412781664578219
IT company,Banglore,Mobinius,"Software company ·  · 2nd Floor, No. 311/ 19, 1st Main Rd
Open ⋅ Closes 12 am · 080508 92702",http://www.mobinius.com/,4.5,N/A,080508 92702,https://www.google.com/maps/search/IT+company+near+Banglore/,N/A,4300398534634681091
IT company,Banglore,IBeON INFOTECH PVT LTD - BEST IT SUPPORT COMPANY IN BANGALORE,"Software company ·  · 8/1, 1st floor, 1st A cross, 24th main, JP Nagar 2nd phase
Open ⋅ Closes 7:30 pm · 080 4853 5499",http://www.ibeoninfotech.com/,4.9,N/A,080 4853 5499,https://www.google.com/maps/search/IT+company+near+Banglore/,IBeON INFOTECH PVT LTD | IT SUPPORT Company About Us Awards & Recognations Testimonials Why Ibeon Infotech Ibeon Infotech FAQ Corporate Social Responsibility Services HTD – Hire Train & Deploy ERP – Enterprise Resource Planning FMS – Facility Management Services SPP – Solutions Partner Program ISS – IT Service & Support ICS – IT Consulting & Solutions ITES – IT Training & Educational Services HAO – HRD & Outsourcing SAR – Staffing & Recruitment WMD – Web & Mobile Development AMC – Annual Mainten,4300398482038967971
IT company,Banglore,XCEL Corp Bangalore (5th Floor) - Software Development Company,"Software company · No.1, Pine Hurst, 100 Feet Ring Rd
Open ⋅ Closes 8 pm · 093641 07005",https://xcelcorp.com/,4.7,N/A,093641 07005,https://www.google.com/maps/search/IT+company+near+Banglore/,Skip to content About us Products Our Offerings Global Capability Center (GCC) Software Development IT Consulting Software Testing Big Data Cloud Computing AI Development Blockchain Development ERP/CRM Insights Media Events Gallery Careers About us Products Our Offerings Global Capability Center (GCC) Software Development IT Consulting Software Testing Big Data Cloud Computing AI Development Blockchain Development ERP/CRM Insights Media Events Gallery Careers Copyright © 2025. All Rights Reserve,4300398450673216655
IT company,Banglore,ERP Bangalore,"Software company · 504, 2nd Stage, 2nd Main, ‘A’ block, Rajajinagar, West
Open ⋅ Closes 4:30 pm · 097399 66977",http://erpbangalore.com/,5.0,info@erpbangalore.com,097399 66977,https://www.google.com/maps/search/IT+company+near+Banglore/,N/A,4300442319172260849
IT company,Banglore,Infosys Limited,"Software company ·  · N 403. 405 North Block, 4th Floor, Manipal Centre, Near-Syndicate Bank, Mahatma Gandhi Road, Dickenson Road
080 2559 2088",https://www.infosys.com/,4.4,N/A,080 2559 2088,https://www.google.com/maps/search/IT+company+near+Banglore/,"Navigate your next Infosys Knowledge Institute Investors Careers search cross Search Hit enter to search or ESC to close Navigate your
                                next Industries Services Platforms Infosys
                                Knowledge Institute About Us Investors Careers Newsroom Contact Us Being Resilient. That's Live Enterprise. Digital Core Capabilities Digital Operating Model Empowering Talent Transformations Tales of Transformation Industries Aerospace & Defense Agricultu",4300399450746781769
IT company,Banglore,Igeeks Technologies Internship Company,"Software company ·  · NO:19,MN Complex,2nd Cross, Sampige Rd
Open ⋅ Closes 8 pm · 095905 44567",https://www.igeekstechnologies.com/,4.5,N/A,095905 44567,https://www.google.com/maps/search/IT+company+near+Banglore/,N/A,4300400956436027083
IT company,Banglore,VRAIO Software Solutions Pvt Ltd,"Software company ·  · 26/1, 22nd Floor, BRIGADE GATEWAY, Regus - Bangalore World Trade Centre, Dr Rajkumar Rd
Open 24 hours",https://vraio.in/,4.5,info@vraio.in,N/A,https://www.google.com/maps/search/IT+company+near+Banglore/,info@vraio.in Facebook Linkedin Home Services ERP Solutions Application Development Mobile Application Android / Ios / Cross platform Web Application Web Development E-commerce Solutions Software Consulting Service IT Infrastructure Services Hosting Service Migration Service Digital Marketing Cyber Forensics About Case Studies Clients Careers Contact Menu Home Services ERP Solutions Application Development Mobile Application Android / Ios / Cross platform Web Application Web Development E-commer,4300443078418397227
IT company,Banglore,Logsafe | Hr & Payroll Software Development Company,"Software company · COTTAGE NO 04, Bangalore Palace
Open ⋅ Closes 6 pm",https://www.logsafe.in/,4.6,N/A,N/A,https://www.google.com/maps/search/IT+company+near+Banglore/,N/A,4300442860800495591
