category,pin_code,name,address,website,rating,email,phone,gmap_link,services,cid
IT company,Chennai,Eagle-HiTech Softclou Private Limited,"Software company ·  · Office No 4, 1st Floor, Jain Antariksa, Rathinammal St
Open ⋅ Closes 2 pm · 063836 11233",https://eaglehitechsoftclou.com/,4.9,hr@eaglehitechsoftclou.com,063836 11233,https://www.google.com/maps/search/IT+company+near+Chennai/,Home Home About About Services Services Careers Careers Contact us Contact us Contact us Contact us,4202535686768482131
IT company,Chennai,Hi-Tech Company Software Solutions (Chennai) Private Limited,"Software company ·  · 4, 4th Street
Open ⋅ Closes 6 pm · 044 2834 4782",http://www.htssindia.in/,4.1,N/A,044 2834 4782,https://www.google.com/maps/search/IT+company+near+Chennai/,N/A,4202533931812735321
IT company,Chennai,"Mobile App (iOS, Android) Development Company in Chennai, E-commerce Website Design & Development Company-NINOS IT SOLUTION","Software company · Shop No:9,Basement, Raahat Plaza, Arcot Rd
Open 24 hours · 099624 11492",http://www.ninositsolution.com/,4.6,info@ninositsolution.com,099624 11492,https://www.google.com/maps/search/IT+company+near+Chennai/,"Services Web Design and Development Static
                                                            Website Dynamic
                                                            Website Wordpress
                                                            Website Ecommerce
                                                            Website ERP Website Woocommerce Website Shopify Website Custom Software App Development Android
                                                            Applicati",4202534772435200953
IT company,Chennai,Hourglass IT Solutions - Web Design Company | Mobile App Development | ERP Software,"Software company · 3rd Floor, No.88, Anmol Palani, Gopathi Narayanaswami Chetty Rd
Open ⋅ Closes 2 pm · 086109 00368",https://www.hourglassit.com/,4.5,info@hourglassit.com,086109 00368,https://www.google.com/maps/search/IT+company+near+Chennai/,": +91 86109 00368 : info@hourglassit.com 30% off on all our services. GET A QUOTE Home About Services Products Careers More Pricing FAQ Blog Contact Us Web and Mobile APP Development and Automation Our Products Procure To Pay Software ERP Software allows corporates, small, medium and large... Order to Cash Order To Cash expertise to power your business Payroll Software Run your payroll using Hourglass IT Payroll Software Our other Products Explore our range of software applications to power your",4202524298629844775
IT company,Chennai,iFive Technology Private Limited,"Software company · No 7, Nimmathi Nivas F2, W Sivan Koil St
Open ⋅ Closes 9 pm · 044 4957 8899",https://www.ifive.in/,4.9,N/A,044 4957 8899,https://www.google.com/maps/search/IT+company+near+Chennai/,N/A,4202534802143619185
IT company,Chennai,Amitysoft Technologies Private Limited,"Software company ·  · 6/22, Second Floor, Dhandapani St
Open ⋅ Closes 8 pm · 044 2432 8077",https://www.amitysoft.com/,4.3,info@amitysoft.com,044 2432 8077,https://www.google.com/maps/search/IT+company+near+Chennai/,"( 044 ) 24328077 , 42035577 info@amitysoft.com HOME About US SERVICES AI Product & Services AI Development Services Product â ITRUSTAI AI Validation Services Enterprise Products & Solutions ERP HCM GROCUS REBUERP Tally ERP Data Analytics IoT Testimonials Our Partners Enterprise Development Services Advisory Services & QA Testing Advisory Audit QA Testing TRAINING Software Testing Big Data PYTHON ERP SQA Testimonials CAREERS BLOG CONTACT US HOME About US SERVICES AI Product & Services AI Develo",4202533920322999185
IT company,Chennai,"Wondersoft Private Limited - Retail Management software, Retail POS software, POS software, Pharmacy POS software, Cloud POS","Software company ·  · 120, Aryagowda Rd, near Postal Colony 1st Street
Open ⋅ Closes 6 pm · 044 6670 6655",https://www.wondersoft.com/,4.8,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,044 6670 6655,https://www.google.com/maps/search/IT+company+near+Chennai/,top of page Industry Apparel and Fashion Apparel & Accessories Pharmacy Pharmacy - Medicine & Drugs Speciality Retail Speciality Retail Footwear & Leather Footwear & Sports Salon & Spa Salon & Spa Health & Beauty Health & Beauty Supermarket & Hypermarket Supermarket & Hypermarket Electronics & Electical Consumer Electronics Food & Beverage Food & Beverages Home Decor Home Décor & Hardware Bags & Luggage Luggage & Bags Pet Supplies Pet Supplies & Services Products eshopaid eShopaid Web based ERP ,4202534526093608739
IT company,Chennai,Impiger Technologies Pvt. Ltd,"Software company · No. 36, 1st Floor, Sudhama Commercial Building, Vijaya Raghava Rd
Open ⋅ Closes 12 am · 044 6630 6000",https://www.impigertech.com/,4.2,sales@impigertech.com,044 6630 6000,https://www.google.com/maps/search/IT+company+near+Chennai/,Skip to content Services Customer Experience Digital Engineering Managed Services Product Engineering Solutions Chatere Inspicere Mercatere Nectere Prospere Serviere Digi NXT+ Artificial Intelligence Hightech Consulting Hyper Automation Power Platform Software Development in Testing (SDET) Resources Blog Case Studies News Company About Us Careers Clients Contact Us Search Services Customer Experience Digital Engineering Managed Services Product Engineering Solutions Chatere Inspicere Mercatere N,4202534072856376465
IT company,Chennai,Temenos India Pvt. Ltd.,"Software company ·  · 146, Sterling Rd
Closed ⋅ Opens 9 am Mon · 044 7133 1000",http://www.temenos.com/,4.2,N/A,044 7133 1000,https://www.google.com/maps/search/IT+company+near+Chennai/,"Portfolio Products Core Banking Deliver modern, comprehensive banking for all customer segments. Digital Banking Power personalized experiences, seamless transactions and accelerate transformation. Payments Real-time, secure, and scalable payments processing. Wealth Management A unified wealth management platform enabling digital and relationship manager experiences. Explore All Products Innovation Platform AI Cloud Discover Our Innovations Temenos SaaS Maximize customer focus and accelerate you",4202533988616678457
IT company,Chennai,TVS Next Limited,"Software company ·  · Olympia Cyberspace, 8th Floor 21/22 Alandur road, Reddy 2nd St
Closed ⋅ Opens 12 am Mon · 044 4909 8874",https://tvsnext.com/,4.3,Group-7807@2x.webp,044 4909 8874,https://www.google.com/maps/search/IT+company+near+Chennai/,Contact Us What We Do Contact Us Close What We Do Who We Are Insights Join Us Close What We Do Who We Are Insights Join Us Contact Us We Build Next Generation Enterprises Services Menu Enterprise Transformation Technology Modernization Innovation Menu Services Enterprise Transformation Technology Modernization Innovation Capabilities Menu Digital Consulting Product Engineering Data and AI Menu Capabilities Digital Consulting Product Engineering Data and AI Industries Menu Manufacturing Healthcar,4202523624070135317
